dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.566755,5.320210,0.000218,0.021793,1.089634,54.481694,4.303868
0.020000,3.566755,5.320210,0.001090,0.065378,2.179268,54.481694,4.304419
0.020000,3.566190,5.318899,0.003051,0.130756,3.268902,54.481694,4.305662
0.020000,3.564814,5.315696,0.006538,0.217927,4.358536,54.481694,4.307877
0.020000,3.562679,5.310683,0.011986,0.326890,5.448169,54.481694,4.311353
0.020000,3.559634,5.303453,0.019831,0.457646,6.537803,54.481694,4.316390
0.020000,3.555632,5.293788,0.030292,0.588402,6.537803,0.000000,4.323166
0.020000,3.550722,5.281670,0.043367,0.719158,6.537803,0.000000,4.331732
0.020000,3.544968,5.267072,0.059058,0.849914,6.537803,0.000000,4.342153
0.020000,3.538450,5.249966,0.077364,0.980670,6.537803,-0.000000,4.354505
0.020000,3.531262,5.230319,0.098285,1.111427,6.537803,0.000000,4.368878
0.020000,3.523518,5.208094,0.121821,1.242183,6.537803,0.000000,4.385373
0.020000,3.515349,5.183251,0.147972,1.372939,6.537803,-0.000000,4.404103
0.020000,3.506909,5.155752,0.176739,1.503695,6.537803,0.000000,4.425189
0.020000,3.498373,5.125554,0.208120,1.634451,6.537803,0.000000,4.448756
0.020000,3.489943,5.092620,0.242117,1.765207,6.537803,0.000000,4.474932
0.020000,3.481844,5.056917,0.278728,1.895963,6.537803,0.000000,4.503838
0.020000,3.474330,5.018418,0.317955,2.026719,6.537803,-0.000000,4.535580
0.020000,3.467683,4.977110,0.359797,2.157475,6.537803,-0.000000,4.570241
0.020000,3.462212,4.932993,0.404254,2.288231,6.537803,0.000000,4.607861
0.020000,3.458248,4.886091,0.451326,2.418987,6.537803,-0.000000,4.648427
0.020000,3.456152,4.836670,0.500796,2.527951,5.448169,-54.481694,4.691662
0.020000,3.456251,4.785244,0.552226,2.615121,4.358536,-54.481694,4.737006
0.020000,3.458793,4.732354,0.605183,2.680499,3.268902,-54.481694,4.783807
0.020000,3.463931,4.678558,0.659228,2.724085,2.179268,-54.481694,4.831354
0.020000,3.471715,4.624420,0.713928,2.745877,1.089634,-54.481694,4.878909
0.020000,3.482060,4.570625,0.768714,2.732706,-0.658564,-87.409881,4.925641
0.020000,3.494752,4.517829,0.823018,2.697742,-1.748198,-54.481694,4.970790
0.020000,3.509507,4.466526,0.876406,2.640986,-2.837832,-54.481694,5.013808
0.020000,3.525961,4.417165,0.928440,2.562436,-3.927465,-54.481694,5.054256
0.020000,3.543697,4.370157,0.978685,2.462094,-5.017099,-54.481694,5.091811
0.020000,3.562253,4.325869,1.026706,2.339960,-6.106733,-54.481694,5.126252
0.020000,3.581200,4.284514,1.072197,2.209203,-6.537803,-21.553506,5.157537
0.020000,3.600211,4.246083,1.115074,2.078447,-6.537803,-0.000000,5.185815
0.020000,3.619025,4.210490,1.155335,1.947691,-6.537803,0.000000,5.211303
0.020000,3.637417,4.177643,1.192982,1.816935,-6.537803,-0.000000,5.234211
0.020000,3.655191,4.147457,1.228013,1.686179,-6.537803,0.000000,5.254738
0.020000,3.672178,4.119848,1.260429,1.555423,-6.537803,-0.000000,5.273069
0.020000,3.688231,4.094741,1.290230,1.424667,-6.537803,0.000000,5.289368
0.020000,3.703225,4.072064,1.317415,1.293911,-6.537803,0.000000,5.303787
0.020000,3.717053,4.051754,1.341986,1.163155,-6.537803,-0.000000,5.316456
0.020000,3.729624,4.033754,1.363942,1.032399,-6.537803,0.000000,5.327493
0.020000,3.740859,4.018012,1.383282,0.901643,-6.537803,0.000000,5.336997
0.020000,3.750694,4.004484,1.400007,0.770887,-6.537803,-0.000000,5.345055
0.020000,3.759076,3.993133,1.414118,0.640131,-6.537803,0.000000,5.351739
0.020000,3.765959,3.983927,1.425613,0.509375,-6.537803,0.000000,5.357107
0.020000,3.771310,3.976840,1.434492,0.378619,-6.537803,-0.000000,5.361208
0.020000,3.775183,3.971749,1.440889,0.261034,-5.879240,32.928188,5.364137
0.020000,3.777772,3.968363,1.445152,0.165242,-4.789606,54.481694,5.366077
0.020000,3.779333,3.966327,1.447717,0.091242,-3.699972,54.481694,5.367241
0.020000,3.780127,3.965294,1.449019,0.039035,-2.610338,54.481694,5.367830
0.020000,3.780417,3.964917,1.449496,0.008621,-1.520704,54.481694,5.368046
0.020000,3.780470,3.964848,1.449582,0.000000,-0.431070,54.481694,5.368085
0.020000,3.780470,3.964848,1.449582,0.000000,0.000000,21.553506,5.368085
